Course,Assessment Type,Weighting,Status,Assessment Strategy
BIOS777_MRES ADVANCED BIOLOGICAL AND BIOMEDICAL SCIENCES PROJECT 1,Coursework,20 %,Approved,"All students work on a single dedicated research project during this module and research project module 2, the content of which is primarily directed by the academic supervisor of the project. The module is assessed by submission of a grant proposal and the supervisor’s assessment of the students work throughout the project. The students generate preliminary data for the grant application task and learn research skills during this module. The module includes informal weekly meetings and recorded monthly formal meetings with the supervisor, where the student records and discusses their achievements, while supervisor evaluates student’s performance and progress in similar to continuing assessment questionnaire way. Some of the meetings are dedicated to planning of the grant proposal; and supervisor’s comments on the draft. Supervisor assesses student progress and performance according to following criteria: Attendance/Effort/Allocation of time; Organisation and planning; Practical/theoretical/investigative skills; Scientific Understanding; Initiative and independence. A summative grant proposal in Semester one, encourages students to demonstrate understanding of the background and rationale of the project, whilst also providing clear aims and a project plan.  Written assessments are submitted and marked online for all students including detailed feedback from the supervisor on a draft copy prior to the final submission. For students who have chosen an online project all of these assignments can be completed in an online environment. The grant proposal will not be marked anonymously as it will need to be marked by the supervisor, an expert on the research topic and so the student will be easily identified. However, all proposals will be independently second marked by someone who hasn’t been involved in the delivery of the project. The reports reflect real-life scenarios (hallmarks of the Liverpool Curriculum Framework). The grant proposal is an outline proposal which would be common in requesting funding for a pilot study and would include a hypothesis, supporting evidence aimed to encourage critical analysis of the literature, and development of a feasible project idea and understanding. Supervisors will provide students feedback on the draft proposal typically within two weeks before final submission deadline. Students will be offered a re-assessment opportunity in failed assessments in accordance with the Code of Practice on Assessment Appendix C. Students resitting the grant proposal will be allowed to re-submit on their project. Students resitting the module will be required to develop a completely new project with a new supervisor. Resit opportunities are usually within 12 months of the failed assessment, and will be capped at the pass mark (50%) unless taken as a first sitting. Students will be informed that, in exceptional circumstances (for example, global pandemics), plans for assessment may be subject to change. Contact will be made via the Virtual Learning Environment (VLE) and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences’ Faculty Academic Quality Standards Committee (FAQSC) will be informed in advance of any such changes, so that approval can be given."
BIOS777_MRES ADVANCED BIOLOGICAL AND BIOMEDICAL SCIENCES PROJECT 1,Coursework,80 %,Approved,"All students work on a single dedicated research project during this module and research project module 2, the content of which is primarily directed by the academic supervisor of the project. The module is assessed by submission of a grant proposal and the supervisor’s assessment of the students work throughout the project. The students generate preliminary data for the grant application task and learn research skills during this module. The module includes informal weekly meetings and recorded monthly formal meetings with the supervisor, where the student records and discusses their achievements, while supervisor evaluates student’s performance and progress in similar to continuing assessment questionnaire way. Some of the meetings are dedicated to planning of the grant proposal; and supervisor’s comments on the draft. Supervisor assesses student progress and performance according to following criteria: Attendance/Effort/Allocation of time; Organisation and planning; Practical/theoretical/investigative skills; Scientific Understanding; Initiative and independence. A summative grant proposal in Semester one, encourages students to demonstrate understanding of the background and rationale of the project, whilst also providing clear aims and a project plan.  Written assessments are submitted and marked online for all students including detailed feedback from the supervisor on a draft copy prior to the final submission. For students who have chosen an online project all of these assignments can be completed in an online environment. The grant proposal will not be marked anonymously as it will need to be marked by the supervisor, an expert on the research topic and so the student will be easily identified. However, all proposals will be independently second marked by someone who hasn’t been involved in the delivery of the project. The reports reflect real-life scenarios (hallmarks of the Liverpool Curriculum Framework). The grant proposal is an outline proposal which would be common in requesting funding for a pilot study and would include a hypothesis, supporting evidence aimed to encourage critical analysis of the literature, and development of a feasible project idea and understanding. Supervisors will provide students feedback on the draft proposal typically within two weeks before final submission deadline. Students will be offered a re-assessment opportunity in failed assessments in accordance with the Code of Practice on Assessment Appendix C. Students resitting the grant proposal will be allowed to re-submit on their project. Students resitting the module will be required to develop a completely new project with a new supervisor. Resit opportunities are usually within 12 months of the failed assessment, and will be capped at the pass mark (50%) unless taken as a first sitting. Students will be informed that, in exceptional circumstances (for example, global pandemics), plans for assessment may be subject to change. Contact will be made via the Virtual Learning Environment (VLE) and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences’ Faculty Academic Quality Standards Committee (FAQSC) will be informed in advance of any such changes, so that approval can be given."
LIFE217_ADVANCED ANIMAL HUSBANDRY,Coursework,30 %,Approved,"Assessments 1 and 2. Short essay questions submitted anonymously. Assessment 3 will be by staff-moderated, peer-assessment and self-assessment of individuals’ contributions to group work in PBL sessions."
LIFE217_ADVANCED ANIMAL HUSBANDRY,Coursework,50 %,Approved,"Assessments 1 and 2. Short essay questions submitted anonymously. Assessment 3 will be by staff-moderated, peer-assessment and self-assessment of individuals’ contributions to group work in PBL sessions."
LIFE217_ADVANCED ANIMAL HUSBANDRY,Coursework,20 %,Approved,"Assessments 1 and 2. Short essay questions submitted anonymously. Assessment 3 will be by staff-moderated, peer-assessment and self-assessment of individuals’ contributions to group work in PBL sessions."
LIFE101_MOLECULES AND CELLS,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write: Assessment 1: Coursework 40% Students will work together to produce an educational/communication resource (e.g. Poster/infographic/short video). Alongside this resource, students will produce accompanying multiple choice questions intended to assess a reader/viewer's understanding. These MCQs can subsequently be pooled as a revision resource. Assessment 2: Exam 60% Invigilated exam Reassessment Strategy: Coursework: there is a reassessment opportunity. These will take a similar form to the originals and take place  in the normal reassessment period and will be submitted via Canvas. The questions will be different  to those used in the original exercises. The mark will be capped at 40. Exam: There is a resit opportunity. Using questions different to those used in the original exam . The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE101_MOLECULES AND CELLS,"Written exam, unseen, managed by SAS",60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write: Assessment 1: Coursework 40% Students will work together to produce an educational/communication resource (e.g. Poster/infographic/short video). Alongside this resource, students will produce accompanying multiple choice questions intended to assess a reader/viewer's understanding. These MCQs can subsequently be pooled as a revision resource. Assessment 2: Exam 60% Invigilated exam Reassessment Strategy: Coursework: there is a reassessment opportunity. These will take a similar form to the originals and take place  in the normal reassessment period and will be submitted via Canvas. The questions will be different  to those used in the original exercises. The mark will be capped at 40. Exam: There is a resit opportunity. Using questions different to those used in the original exam . The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE130_COMMUNICATION AND STUDY SKILLS FOR THE LIFE SCIENCES,Coursework,40 %,Approved,"The assessment strategy has been designed to develop active-learning and self-reflection at the start of our students’ University journeys.  Individual and group feedback on approximately fortnightly authentic-assessments and self-reflections aim to support the development of study and employability skills, such as resilience and ability to recognise, and act upon, constructive feedback.  A key component of the assessment is therefore the production of a skills/self-reflection portfolio.  The portfolio must be passed in order to pass the module, thereby ensuring that all students have to engage with the self-reflection process.  In addition to the portfolio, two written assignments are designed to be authentic and will require students to combine all the skills they have developed over the course of the module, again reducing the possibility that students can progress to the following year without having made progress in all the skills they will need for further study, placements and career development.  Furthermore, the assessments will help 1st year students to start to appreciate that learning in HE is about developing the ability to utilise a range of skills and expertise e.g. literature searching, communication, and creativity to address real-life situations."
LIFE130_COMMUNICATION AND STUDY SKILLS FOR THE LIFE SCIENCES,Coursework,40 %,Approved,"The assessment strategy has been designed to develop active-learning and self-reflection at the start of our students’ University journeys.  Individual and group feedback on approximately fortnightly authentic-assessments and self-reflections aim to support the development of study and employability skills, such as resilience and ability to recognise, and act upon, constructive feedback.  A key component of the assessment is therefore the production of a skills/self-reflection portfolio.  The portfolio must be passed in order to pass the module, thereby ensuring that all students have to engage with the self-reflection process.  In addition to the portfolio, two written assignments are designed to be authentic and will require students to combine all the skills they have developed over the course of the module, again reducing the possibility that students can progress to the following year without having made progress in all the skills they will need for further study, placements and career development.  Furthermore, the assessments will help 1st year students to start to appreciate that learning in HE is about developing the ability to utilise a range of skills and expertise e.g. literature searching, communication, and creativity to address real-life situations."
LIFE130_COMMUNICATION AND STUDY SKILLS FOR THE LIFE SCIENCES,Coursework,20 %,Approved,"The assessment strategy has been designed to develop active-learning and self-reflection at the start of our students’ University journeys.  Individual and group feedback on approximately fortnightly authentic-assessments and self-reflections aim to support the development of study and employability skills, such as resilience and ability to recognise, and act upon, constructive feedback.  A key component of the assessment is therefore the production of a skills/self-reflection portfolio.  The portfolio must be passed in order to pass the module, thereby ensuring that all students have to engage with the self-reflection process.  In addition to the portfolio, two written assignments are designed to be authentic and will require students to combine all the skills they have developed over the course of the module, again reducing the possibility that students can progress to the following year without having made progress in all the skills they will need for further study, placements and career development.  Furthermore, the assessments will help 1st year students to start to appreciate that learning in HE is about developing the ability to utilise a range of skills and expertise e.g. literature searching, communication, and creativity to address real-life situations."
LIFE237_MOLECULAR SCIENCE,Coursework,30 %,Approved,"We have a range of formative and summative assessments to align with C2021 principles, hallmarks and attributes. We have built in real life case studies and questions to help students apply the basic biochemistry to real world situations thus making assessments authentic. Students will also develop digital fluency. Assessment 1: 30% for Abstract 1 Assessment 2: 30% for Abstract 2 Each abstract  abstracts (350 words) will describe the 2 major investigations that each cover 2-3 weeks of the practical and as such will be 30% each, making a total of 60%. The abstracts allow students to reflect on multi-week investigations and complement the development of their planning, analysis and practical skills with improved scientific writing skills. This builds on written assessments in LIFE107 and helps prepare them for scientific writing in the advanced practical modules in semester 2 and their projects in year 3. Assessment 3: 40% Problem-based test •Problem-based online test similar to those encountered during practicals and formative problem sessions to include experimental design questions (planning experiments and anticipating/interpreting results in molecular biology) •Will be available to take within a 24 hour period, although once started test will be timed for 2 hours. The module mark will be an aggregated mark based on three assessments. Reassessment strategy: The reassessment strategy is a different exam in the same format taken during the normal reassessment time window and is capped at 40%. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE237_MOLECULAR SCIENCE,Coursework,30 %,Approved,"We have a range of formative and summative assessments to align with C2021 principles, hallmarks and attributes. We have built in real life case studies and questions to help students apply the basic biochemistry to real world situations thus making assessments authentic. Students will also develop digital fluency. Assessment 1: 30% for Abstract 1 Assessment 2: 30% for Abstract 2 Each abstract  abstracts (350 words) will describe the 2 major investigations that each cover 2-3 weeks of the practical and as such will be 30% each, making a total of 60%. The abstracts allow students to reflect on multi-week investigations and complement the development of their planning, analysis and practical skills with improved scientific writing skills. This builds on written assessments in LIFE107 and helps prepare them for scientific writing in the advanced practical modules in semester 2 and their projects in year 3. Assessment 3: 40% Problem-based test •Problem-based online test similar to those encountered during practicals and formative problem sessions to include experimental design questions (planning experiments and anticipating/interpreting results in molecular biology) •Will be available to take within a 24 hour period, although once started test will be timed for 2 hours. The module mark will be an aggregated mark based on three assessments. Reassessment strategy: The reassessment strategy is a different exam in the same format taken during the normal reassessment time window and is capped at 40%. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE237_MOLECULAR SCIENCE,"Written exam, open book, not managed by SAS",40 %,Approved,"We have a range of formative and summative assessments to align with C2021 principles, hallmarks and attributes. We have built in real life case studies and questions to help students apply the basic biochemistry to real world situations thus making assessments authentic. Students will also develop digital fluency. Assessment 1: 30% for Abstract 1 Assessment 2: 30% for Abstract 2 Each abstract  abstracts (350 words) will describe the 2 major investigations that each cover 2-3 weeks of the practical and as such will be 30% each, making a total of 60%. The abstracts allow students to reflect on multi-week investigations and complement the development of their planning, analysis and practical skills with improved scientific writing skills. This builds on written assessments in LIFE107 and helps prepare them for scientific writing in the advanced practical modules in semester 2 and their projects in year 3. Assessment 3: 40% Problem-based test •Problem-based online test similar to those encountered during practicals and formative problem sessions to include experimental design questions (planning experiments and anticipating/interpreting results in molecular biology) •Will be available to take within a 24 hour period, although once started test will be timed for 2 hours. The module mark will be an aggregated mark based on three assessments. Reassessment strategy: The reassessment strategy is a different exam in the same format taken during the normal reassessment time window and is capped at 40%. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE321_HUMAN AND CLINICAL GENETICS,Coursework,60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students (will Assessment 1) design and present an infographic on the application of genomic sequencing to human health and (Assessment 2) will complete a written assessment that combines problem solving with synthesis of research-led materials. Assessment 1 : design and recorded video presentation of an infographic (8 minutes maximum duration) {by having recorded presentations, rather than live events, we provide flexibility for all students, but especially those with certain  types of support plans } All students have experience of assessed presentations using flexible infographic platforms (such as Canva) from their second-year skills module, and it is judged that they do not need additional, class level support. The relevant academic (M Speed) will however, respond to individual queries from students. Assessment 2: will be a written coursework task, which relates to the sections on genome instability (short essay), and genetic counselling (SAQs) Reassessment strategy: there is a resit opportunity for both assignments. Each will use a similar format but a different scenario will be used for each. These will take place in the normal reassessment period and be capped at 40% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE321_HUMAN AND CLINICAL GENETICS,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students (will Assessment 1) design and present an infographic on the application of genomic sequencing to human health and (Assessment 2) will complete a written assessment that combines problem solving with synthesis of research-led materials. Assessment 1 : design and recorded video presentation of an infographic (8 minutes maximum duration) {by having recorded presentations, rather than live events, we provide flexibility for all students, but especially those with certain  types of support plans } All students have experience of assessed presentations using flexible infographic platforms (such as Canva) from their second-year skills module, and it is judged that they do not need additional, class level support. The relevant academic (M Speed) will however, respond to individual queries from students. Assessment 2: will be a written coursework task, which relates to the sections on genome instability (short essay), and genetic counselling (SAQs) Reassessment strategy: there is a resit opportunity for both assignments. Each will use a similar format but a different scenario will be used for each. These will take place in the normal reassessment period and be capped at 40% Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE105_GRAND CHALLENGES IN BIOLOGY,Coursework,20 %,Approved,"The assessments reflect real-life and career-based scenarios because they are based around contemporary challenges in biology (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students produce: Assessment 1 will be a Group video, assessed online , with marks distributed according to peer assessed contribution. Students are assessed by online tests that test knowledge acquisition and application. Assessment 2 will assess the material covered in the various parallel session. Assessment 3 will assess material covered in the plenary sessions. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE105_GRAND CHALLENGES IN BIOLOGY,"Written exam, open book, not managed by SAS",40 %,Approved,"The assessments reflect real-life and career-based scenarios because they are based around contemporary challenges in biology (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students produce: Assessment 1 will be a Group video, assessed online , with marks distributed according to peer assessed contribution. Students are assessed by online tests that test knowledge acquisition and application. Assessment 2 will assess the material covered in the various parallel session. Assessment 3 will assess material covered in the plenary sessions. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE105_GRAND CHALLENGES IN BIOLOGY,"Written exam, open book, not managed by SAS",40 %,Approved,"The assessments reflect real-life and career-based scenarios because they are based around contemporary challenges in biology (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students produce: Assessment 1 will be a Group video, assessed online , with marks distributed according to peer assessed contribution. Students are assessed by online tests that test knowledge acquisition and application. Assessment 2 will assess the material covered in the various parallel session. Assessment 3 will assess material covered in the plenary sessions. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
BIOS775_TECHNIQUES IN BIOLOGICAL AND BIOMEDICAL SCIENCES RESEARCH,Coursework,40 %,Approved,"Inclusive Assessment strategy will be used aligned directly with module learning outcomes, thus allowing for a variety of assessment methods according to the principle of ‘Multiple Means of Expression’ to test knowledge and skills whilst avoiding assessment bunching and scheduling barriers (e.g. during religious observances). There are two summative assessments in this module. A formative assessment is also integrated into  the journal clubs. Assessment Method 1: Short Review (summative, 2500 words, 60% overall mark, deadline will be within working hours) This assessment directly links to the development of critical appraisal of experimental methodologies and deeper understanding of the challenges in biological and biomedical sciences, in line with  Liverpool Curriculum Framework authentic assessment. Students will review a research technique. Students select their review preferences for each assignment and an allocation made based on one of their choices, in line with a principle of supporting ‘negotiated content’. Resources include anonymized examples of previous short reviews provided on Canvas and direction and scope provided by the lecturer whose research technique or topic has been chosen. Students will be provided with clear marking rubric criteria for the assessment and the weighting of different elements will be clearly indicated. This assessment supports learning outcomes LO1-3 and skills S1-3. Assessment Method 2: Referee’s report (summative, 1250 words, 40% overall mark, deadline will be within working hours) Students will undertake this assignment following demonstrations of how to analyse research manuscripts by academic staff in the module lecture and seminar series, and the formative group journal club presentations. This assessment directly links to their development of critical peer-reviewing skills, in line with Liverpool Curriculum Framework authentic assessment. Resources include anonymized examples of previous student referee’s reports provided on Canvas, two exemplar lectures on how to review articles and a dedicated lecture on preparing a referee’s report. Students will be provided clear marking rubric criteria for the assessment and the weighting of different elements will be clearly indicated. This assessment supports learning outcomes LO1-3 and skills S1-3. Assessment Method 3: Journal Club Presentation (formative) Group student presentation will facilitate presenting scientific manuscripts in an impactful manner, whilst focusing on the critical appraisal. Students will be requested to make individual contributions to the group presentation. While no formal peer contribution software will be used, students will be coached by staff regarding the importance of team working. This assessment is linked to a session on peer-reviewing journal articles. Feedback will be facilitated by an academic tutor  as well as received through peer discussion following the presentation. Learning for all is encouraged through reading and critical appraisal of the assigned and related articles for each journal club session. This assessment supports learning outcomes LO1-3 and skills S1-3 and provides a learning opportunity supporting assessment 2. Standard UoL penalty applies for late submission. Feedback will be provided to all assessments. Pass mark for all assessments is 50%. All assessments are anonymous. Learning materials will be available to students via the University Virtual Learning environment. University of Liverpool 2026/2031 strategy The assessment strategy will assess meaningful and integrated application of relevant academic knowledge, skills and synthesis from the course materials and associated sessions.  The Journal style  review  and referee’s report will allow students to assimilate, assess and process information in a manner similar to those that will be expected as a citizen or post-graduate level professional – The assessments in this module are  exemplars of authentic assessment. Reassessment Strategy Reassessments will have the same format as the original assessment. Students resitting a short review will be expected to choose a new topic from their initial selection. Marks will be capped at 50%. Students resitting the referee’s report  proposal will be given a new article  to review. Marks will be capped at 50%.  Resits will take place in the reassessment window. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS775_TECHNIQUES IN BIOLOGICAL AND BIOMEDICAL SCIENCES RESEARCH,Coursework,60 %,Approved,"Inclusive Assessment strategy will be used aligned directly with module learning outcomes, thus allowing for a variety of assessment methods according to the principle of ‘Multiple Means of Expression’ to test knowledge and skills whilst avoiding assessment bunching and scheduling barriers (e.g. during religious observances). There are two summative assessments in this module. A formative assessment is also integrated into  the journal clubs. Assessment Method 1: Short Review (summative, 2500 words, 60% overall mark, deadline will be within working hours) This assessment directly links to the development of critical appraisal of experimental methodologies and deeper understanding of the challenges in biological and biomedical sciences, in line with  Liverpool Curriculum Framework authentic assessment. Students will review a research technique. Students select their review preferences for each assignment and an allocation made based on one of their choices, in line with a principle of supporting ‘negotiated content’. Resources include anonymized examples of previous short reviews provided on Canvas and direction and scope provided by the lecturer whose research technique or topic has been chosen. Students will be provided with clear marking rubric criteria for the assessment and the weighting of different elements will be clearly indicated. This assessment supports learning outcomes LO1-3 and skills S1-3. Assessment Method 2: Referee’s report (summative, 1250 words, 40% overall mark, deadline will be within working hours) Students will undertake this assignment following demonstrations of how to analyse research manuscripts by academic staff in the module lecture and seminar series, and the formative group journal club presentations. This assessment directly links to their development of critical peer-reviewing skills, in line with Liverpool Curriculum Framework authentic assessment. Resources include anonymized examples of previous student referee’s reports provided on Canvas, two exemplar lectures on how to review articles and a dedicated lecture on preparing a referee’s report. Students will be provided clear marking rubric criteria for the assessment and the weighting of different elements will be clearly indicated. This assessment supports learning outcomes LO1-3 and skills S1-3. Assessment Method 3: Journal Club Presentation (formative) Group student presentation will facilitate presenting scientific manuscripts in an impactful manner, whilst focusing on the critical appraisal. Students will be requested to make individual contributions to the group presentation. While no formal peer contribution software will be used, students will be coached by staff regarding the importance of team working. This assessment is linked to a session on peer-reviewing journal articles. Feedback will be facilitated by an academic tutor  as well as received through peer discussion following the presentation. Learning for all is encouraged through reading and critical appraisal of the assigned and related articles for each journal club session. This assessment supports learning outcomes LO1-3 and skills S1-3 and provides a learning opportunity supporting assessment 2. Standard UoL penalty applies for late submission. Feedback will be provided to all assessments. Pass mark for all assessments is 50%. All assessments are anonymous. Learning materials will be available to students via the University Virtual Learning environment. University of Liverpool 2026/2031 strategy The assessment strategy will assess meaningful and integrated application of relevant academic knowledge, skills and synthesis from the course materials and associated sessions.  The Journal style  review  and referee’s report will allow students to assimilate, assess and process information in a manner similar to those that will be expected as a citizen or post-graduate level professional – The assessments in this module are  exemplars of authentic assessment. Reassessment Strategy Reassessments will have the same format as the original assessment. Students resitting a short review will be expected to choose a new topic from their initial selection. Marks will be capped at 50%. Students resitting the referee’s report  proposal will be given a new article  to review. Marks will be capped at 50%.  Resits will take place in the reassessment window. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC401_APPLIED ETHICS FOR CLINICAL PRACTICE II,Coursework,50 %,Approved,"A. Formative assessments will be developed especially on-line to allow students to measure their progress and to respond to feedback. Assessment for learning is focused on the following opportunities: • Online Quiz through Canvas.  Topics for this module would include: ethical theories, concepts and principles. •E-portfolio (Case notes, podcast, blog: Students will create brief case notes/podcast/blog around an ethical issue encountered in their practice (approx. 500 words) by week 8 in which they will assess, propose and justify appropriate ethical decisions. •Workshops: The workshops during the face-to-face component include exercises to review and practice ethical approaches to clinical practice. B. The summative assessments for this module will combine critical appraisal (of clinical ethics cases, theories and problems) and critical reflection (on clinical examples): The first part of the summative assessment (50%) will be a 3000 word (total) written work consisting of a choice of 2 tasks from the following: a) an ethical reflection on your chosen case (1500 words) b) an annotated bibliography for your chosen topic (1500 words) e.g. https://pcwww.liv.ac.uk...bibliography/story.html c) a reflexive diary/online blog (1500 words) d) an ethics section designed for a grant application (1500 words) The second part of the summative is a 3000 word case study report (Coursework 50%). This is part of ‘authentic assessment’, mirroring a real-life report exercise. Re-assessment: Re-assessment will normally take place at the next re-assessment opportunity and within 12 months of the failed assessment where possible. Students will be offered a re-assessment opportunity in failed assessments in accordance with the University’s Code of Practice on Assessment, Appendix C. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
MDSC401_APPLIED ETHICS FOR CLINICAL PRACTICE II,Coursework,50 %,Approved,"A. Formative assessments will be developed especially on-line to allow students to measure their progress and to respond to feedback. Assessment for learning is focused on the following opportunities: • Online Quiz through Canvas.  Topics for this module would include: ethical theories, concepts and principles. •E-portfolio (Case notes, podcast, blog: Students will create brief case notes/podcast/blog around an ethical issue encountered in their practice (approx. 500 words) by week 8 in which they will assess, propose and justify appropriate ethical decisions. •Workshops: The workshops during the face-to-face component include exercises to review and practice ethical approaches to clinical practice. B. The summative assessments for this module will combine critical appraisal (of clinical ethics cases, theories and problems) and critical reflection (on clinical examples): The first part of the summative assessment (50%) will be a 3000 word (total) written work consisting of a choice of 2 tasks from the following: a) an ethical reflection on your chosen case (1500 words) b) an annotated bibliography for your chosen topic (1500 words) e.g. https://pcwww.liv.ac.uk...bibliography/story.html c) a reflexive diary/online blog (1500 words) d) an ethics section designed for a grant application (1500 words) The second part of the summative is a 3000 word case study report (Coursework 50%). This is part of ‘authentic assessment’, mirroring a real-life report exercise. Re-assessment: Re-assessment will normally take place at the next re-assessment opportunity and within 12 months of the failed assessment where possible. Students will be offered a re-assessment opportunity in failed assessments in accordance with the University’s Code of Practice on Assessment, Appendix C. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE340_TOPICS IN GLOBAL HEALTH,Coursework,60 %,Approved,"Assessment 1: The open book written coursework will consist of  a single question designed to test critical thinking of the knowledge gained from taught material and from extra reading during the first part of the module. Assessment 2: The open book written coursework will consist of a single question designed to test critical thinking of the knowledge gained from taught material and from extra reading over the whole course of the module. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and critical thinking in our students, skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE340_TOPICS IN GLOBAL HEALTH,Coursework,40 %,Approved,"Assessment 1: The open book written coursework will consist of  a single question designed to test critical thinking of the knowledge gained from taught material and from extra reading during the first part of the module. Assessment 2: The open book written coursework will consist of a single question designed to test critical thinking of the knowledge gained from taught material and from extra reading over the whole course of the module. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and critical thinking in our students, skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
